"Name","PathName","ProcessID"
"lmhosts","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","2916"
"LSM",,"960"
"LxpSvc","C:\Windows\system32\svchost.exe -k netsvcs","0"
"MapsBroker","C:\Windows\System32\svchost.exe -k NetworkService -p","0"
"mpssvc","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","2060"
"MSDTC","C:\Windows\System32\msdtc.exe","3468"
"MSiSCSI","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"msiserver","C:\Windows\system32\msiexec.exe /V","0"
"NaturalAuthentication","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"NcaSvc","C:\Windows\System32\svchost.exe -k NetSvcs -p","0"
"NcbService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","724"
"NcdAutoSetup","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p","0"
"Netlogon","C:\Windows\system32\lsass.exe","0"
"Netman","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"netprofm","C:\Windows\System32\svchost.exe -k LocalService -p","1772"
"NetSetupSvc",,"0"
"NetTcpPortSharing","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","0"
"NgcCtnrSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"NgcSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"NlaSvc","C:\Windows\System32\svchost.exe -k NetworkService -p","1620"
"nsi","C:\Windows\system32\svchost.exe -k LocalService -p","1264"
"p2pimsvc","C:\Windows\System32\svchost.exe -k LocalServicePeerNet","0"
"p2psvc","C:\Windows\System32\svchost.exe -k LocalServicePeerNet","0"
"PcaSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","5228"
"PeerDistSvc","C:\Windows\System32\svchost.exe -k PeerDist","0"
"perceptionsimulation","C:\Windows\system32\PerceptionSimulation\PerceptionSimulationService.exe","0"
"PerfHost","C:\Windows\SysWow64\perfhost.exe","0"
"PhoneSvc","C:\Windows\system32\svchost.exe -k LocalService -p","0"
"pla","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p","0"
"PlugPlay","C:\Windows\system32\svchost.exe -k DcomLaunch -p","780"
"PNRPAutoReg","C:\Windows\System32\svchost.exe -k LocalServicePeerNet","0"
"PNRPsvc","C:\Windows\System32\svchost.exe -k LocalServicePeerNet","0"
"PolicyAgent","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p","0"
"Power","C:\Windows\system32\svchost.exe -k DcomLaunch -p","800"
"PrintNotify","C:\Windows\system32\svchost.exe -k print","0"
